"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"SPDW","SPDR® Portfolio Developed World ex-US ETF","ETF","--","--"," Select List","No","0.03%","0.03%","04/20/2007","+12.14%","+11.14%","+5.45%","+3.58%","+12.72%","+11.26%","+5.47%","+3.57%","04/30/2025","+4.34%","+11.70%","+5.43%","+3.33%","+4.80%","+11.88%","+5.49%","+3.36%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"VEU","Vanguard FTSE All-World ex-US Index Fund ETF Shares","ETF","--","--"," Select List","No","0.04%","0.04%","03/02/2007","+12.53%","+10.56%","+5.13%","+4.10%","+12.48%","+10.60%","+5.12%","+3.99%","04/30/2025","+6.71%","+11.51%","+5.33%","+3.95%","+6.70%","+11.45%","+5.32%","+3.85%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"SCHF","Schwab International Equity ETF™","ETF","--","--"," Select List","No","0.06%","0.06%","11/03/2009","+12.03%","+11.42%","+5.56%","+6.09%","+12.57%","+11.57%","+5.57%","+6.09%","04/30/2025","+4.24%","+11.95%","+5.54%","+5.81%","+4.61%","+12.07%","+5.59%","+5.86%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","4 stars out of 435 funds","04/30/2025"
"VT","Vanguard Total World Stock Index Fund ETF Shares","ETF","--","--"," Select List","No","0.06%","0.06%","06/24/2008","+11.75%","+13.20%","+8.70%","+7.46%","+11.58%","+13.25%","+8.68%","+7.47%","04/30/2025","+6.91%","+15.40%","+8.91%","+7.45%","+6.98%","+15.37%","+8.90%","+7.47%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","3 stars out of 312 funds","4 stars out of 293 funds","4 stars out of 199 funds","04/30/2025"
"VGK","Vanguard FTSE Europe ETF","ETF","--","--"," Select List","No","0.06%","0.06%","03/04/2005","+15.17%","+13.02%","+5.94%","+5.52%","+14.85%","+13.07%","+5.92%","+5.50%","04/30/2025","+7.79%","+13.67%","+5.95%","+5.33%","+7.77%","+13.63%","+5.96%","+5.33%","03/31/2025","Europe Stock","3 stars out of 82 funds","3 stars out of 82 funds","3 stars out of 81 funds","3 stars out of 58 funds","04/30/2025"
"SPEM","SPDR® Portfolio Emerging Markets ETF","ETF","--","--"," Select List","No","0.07%","0.07%","03/19/2007","+10.52%","+7.89%","+3.85%","+4.39%","+11.13%","+8.23%","+3.86%","+4.20%","04/30/2025","+11.49%","+9.69%","+4.49%","+4.37%","+11.84%","+9.76%","+4.58%","+4.22%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","4 stars out of 639 funds","4 stars out of 440 funds","04/30/2025"
"VPL","Vanguard FTSE Pacific Index Fund ETF Shares","ETF","--","--"," Select List","No","0.07%","0.07%","03/04/2005","+7.61%","+8.22%","+4.63%","+4.81%","+7.73%","+8.32%","+4.66%","+4.77%","04/30/2025","-1.44%","+8.83%","+4.62%","+4.62%","-1.57%","+8.75%","+4.58%","+4.58%","03/31/2025","Diversified Pacific/Asia","4 stars out of 10 funds","3 stars out of 10 funds","5 stars out of 10 funds","3 stars out of 10 funds","04/30/2025"
"SCHY","Schwab International Dividend Equity ETF","ETF","--","--"," Select List","No","0.08%","0.08%","04/28/2021","+16.22%","--","--","+5.14%","+16.61%","--","--","+5.05%","04/30/2025","+8.58%","--","--","+3.97%","+9.18%","--","--","+4.14%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","2 stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"VSS","Vanguard FTSE All-World ex-US Small-Cap Index Fund ETF Shares","ETF","--","--"," Select List","No","0.08%","0.08%","04/02/2009","+8.54%","+9.40%","+4.32%","+8.28%","+8.68%","+9.59%","+4.28%","+8.24%","04/30/2025","+2.58%","+11.16%","+4.51%","+8.05%","+2.33%","+11.11%","+4.42%","+8.01%","03/31/2025","Foreign Small/Mid Blend","2 stars out of 88 funds","2 stars out of 88 funds","3 stars out of 80 funds","2 stars out of 50 funds","04/30/2025"
"HDEF","Xtrackers MSCI EAFE High Dividend Yield Equity ETF","ETF","--","--"," Select List","No","0.09%","0.09%","08/12/2015","+19.51%","+12.79%","--","+6.43%","+19.81%","+12.90%","--","+6.38%","04/30/2025","+14.12%","+13.06%","--","+6.02%","+14.80%","+13.26%","--","+6.07%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","4 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
